SOURCE	STRATA	DEP10	N_BREAK	TOTN	DISTFRAC
2	482	210	141	1323	.106575963718821
2	482	220	145	1323	.109599395313681
2	482	230	163	1323	.123204837490552
2	482	240	180	1323	.136054421768708
2	482	250	149	1323	.112622826908541
2	482	260	95	1323	.071806500377929
2	482	270	90	1323	.0680272108843538
2	482	280	55	1323	.0415721844293273
2	482	290	29	1323	.0219198790627362
2	482	300	5	1323	.00377928949357521
2	482	310	1	1323	.000755857898715042
2	482	320	3	1323	.00226757369614512
2	482	330	1	1323	.000755857898715042
2	483	240	2	665	.00300751879699248
2	483	250	1	665	.00150375939849624
2	483	260	5	665	.0075187969924812
2	483	270	7	665	.0105263157894737
2	483	280	20	665	.0300751879699248
2	483	290	45	665	.0676691729323308
2	483	300	89	665	.133834586466165
2	483	310	88	665	.132330827067669
2	483	320	125	665	.18796992481203
2	483	330	116	665	.174436090225564
2	483	340	76	665	.114285714285714
2	483	350	66	665	.0992481203007519
2	483	360	25	665	.037593984962406
2	484	140	1	2767	.000361402240693892
2	484	160	12	2767	.00433682688832671
2	484	170	43	2767	.0155402963498374
2	484	180	167	2767	.06035417419588
2	484	190	439	2767	.158655583664619
2	484	200	616	2767	.222623780267438
2	484	210	575	2767	.207806288398988
2	484	220	477	2767	.172388868810987
2	484	230	296	2767	.106975063245392
2	484	240	112	2767	.0404770509577159
2	484	250	28	2767	.010119262739429
2	484	260	1	2767	.000361402240693892
2	485	80	18	2142	.00840336134453782
2	485	90	51	2142	.0238095238095238
2	485	100	202	2142	.0943043884220355
2	485	110	290	2142	.135387488328665
2	485	120	226	2142	.105508870214753
2	485	130	144	2142	.0672268907563025
2	485	140	188	2142	.0877684407096172
2	485	150	193	2142	.0901027077497666
2	485	160	273	2142	.127450980392157
2	485	170	251	2142	.1171802054155
2	485	180	184	2142	.0859010270774977
2	485	190	106	2142	.0494864612511671
2	485	200	16	2142	.00746965452847806
2	490	30	2	793	.00252206809583859
2	490	40	19	793	.0239596469104666
2	490	50	92	793	.116015132408575
2	490	60	126	793	.158890290037831
2	490	70	137	793	.172761664564943
2	490	80	144	793	.181588902900378
2	490	90	150	793	.189155107187894
2	490	100	69	793	.0870113493064313
2	490	110	33	793	.0416141235813367
2	490	120	19	793	.0239596469104666
2	490	130	1	793	.00126103404791929
2	490	140	1	793	.00126103404791929
2	491	80	1	947	.00105596620908131
2	491	90	39	947	.0411826821541711
